City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Namatanai,PG,2022-03-29 20:13:34,-3.6667,152.4333,80.46,79,56,8.01
267,Pontes E Lacerda,BR,2022-03-29 20:13:34,-15.2261,-59.3353,83.91,78,24,3.42
268,Ochamchira,GE,2022-03-29 20:13:35,42.7121,41.4721,47.79,66,100,5.61
269,Krasnoselkup,RU,2022-03-29 20:13:35,65.7,82.4667,29.26,95,100,13.4
270,Naze,JP,2022-03-29 20:14:35,28.3667,129.4833,64.62,84,100,14.88
271,Oxapampa,PE,2022-03-29 20:14:36,-10.5775,-75.4017,69.76,75,99,3.74
272,Sabzevar,IR,2022-03-29 20:14:36,36.2126,57.6819,48.0,49,0,9.6
273,Hithadhoo,MV,2022-03-29 20:14:37,-0.6,73.0833,82.09,67,9,6.64
274,Kismayo,SO,2022-03-29 20:14:37,-0.3582,42.5454,81.12,79,100,12.66
275,Ipixuna,BR,2022-03-29 20:14:37,-1.7625,-48.8043,74.01,98,100,2.75
276,Malinalco,MX,2022-03-29 20:14:38,18.95,-99.5,84.76,18,3,9.66
277,Caravelas,BR,2022-03-29 20:10:13,-17.7125,-39.2481,80.47,71,11,6.22
278,Sioux Lookout,CA,2022-03-29 20:14:38,50.1001,-91.917,34.79,94,100,10.02
279,Arawa,PG,2022-03-29 20:14:39,-6.2132,155.5367,76.75,90,100,3.22
280,Pozo Colorado,PY,2022-03-29 20:14:39,-23.4923,-58.7972,100.96,27,0,11.95
281,Gazanjyk,TM,2022-03-29 20:14:40,39.2446,55.5154,49.1,39,0,16.28
282,Mudu,CN,2022-03-29 20:14:40,31.252,120.5118,52.12,93,93,3.98
283,Tortoman,RO,2022-03-29 20:14:41,44.35,28.2167,50.65,56,99,9.01
284,Pangody,RU,2022-03-29 20:14:41,65.85,74.4859,27.84,97,100,12.91
285,Andrews,US,2022-03-29 20:14:41,32.3187,-102.5457,87.08,7,0,19.57
